emdb_id,mapq_qscore,our_qscore_nonwater,difference,pct_difference
EMD-2984,0.615,0.6151,0.0001,0.0
EMD-3061,0.457,0.4571,0.0001,0.0
EMD-47792,0.484,0.4840,0.0000,0.0
EMD-48340,0.297,0.2974,0.0004,0.1
EMD-48779,0.532,0.5316,-0.0004,-0.1
EMD-49797,0.45,0.4502,0.0002,0.0
EMD-52518,0.666,0.6659,-0.0001,-0.0
EMD-53483,0.481,0.4813,0.0003,0.1
EMD-53512,0.61,0.6104,0.0004,0.1
EMD-53590,0.294,0.2943,0.0003,0.1
EMD-53804,0.458,0.4582,0.0002,0.0
EMD-54674,0.434,0.4337,-0.0003,-0.1
EMD-54930,0.495,0.4950,0.0000,0.0
EMD-55355,0.559,0.5594,0.0004,0.1
EMD-55737,0.566,0.5663,0.0003,0.1
EMD-55831,0.181,0.1808,-0.0002,-0.1
EMD-56096,0.439,0.4391,0.0001,0.0
EMD-56518,0.444,0.4436,-0.0004,-0.1
EMD-60928,0.522,0.5226,0.0006,0.1
EMD-63009,0.541,0.5413,0.0003,0.1
EMD-63013,0.361,0.3612,0.0002,0.1
EMD-64047,0.452,0.4525,0.0005,0.1
EMD-64933,0.676,0.6763,0.0003,0.0
EMD-66260,0.413,0.4136,0.0006,0.1
EMD-66788,0.378,0.3780,0.0000,0.0
EMD-71406,0.324,0.3243,0.0003,0.1
EMD-72359,0.376,0.3764,0.0004,0.1
EMD-73900,0.556,0.5558,-0.0002,-0.0
